membership_no,billing_date
AGL-001000,8/4/2026
AGL-001001,9/4/2026
AGL-001002,1/10/2027
AGL-001003,1/10/2027
AGL-001004,1/4/2027
AGL-001005,1/8/2027
AGL-001006,10/2/2026
AGL-001007,5/14/2026
AGL-001008,9/5/2026
AGL-001009,9/5/2026
AGL-001031,9/11/2026
AGL-001032,9/12/2026
AGL-001033,9/12/2026
AGL-001034,9/12/2026
AGL-001035,9/13/2026
AGL-001036,9/13/2026
AGL-001037,9/13/2026
AGL-001038,9/13/2026
AGL-001039,9/13/2026
AGL-001040,3/13/2026
AGL-001041,10/15/2026
AGL-001042,10/15/2026
AGL-001043,1/18/2027
AGL-001044,9/18/2026
AGL-001045,10/9/2026
AGL-001046,9/18/2026
AGL-001047,9/19/2026
AGL-001048,9/19/2026
AGL-001049,9/19/2026
AGL-001050,9/19/2026
AGL-001051,9/19/2026
AGL-001010,9/6/2026
AGL-001011,9/6/2026
AGL-001012,10/11/2026
AGL-001013,7/8/2026
AGL-001014,11/7/2026
AGL-001015,5/14/2026
AGL-001016,9/7/2026
AGL-001017,9/7/2026
AGL-001018,9/7/2026
AGL-001019,1/16/2027
AGL-001020,9/8/2026
AGL-001021,9/9/2026
AGL-001022,9/9/2026
AGL-001023,9/9/2026
AGL-001024,9/9/2026
AGL-001025,9/11/2026
AGL-001026,9/11/2026
AGL-001027,9/11/2026
AGL-001028,9/11/2026
AGL-001029,9/11/2026
AGL-001030,9/11/2026
AGL-001052,9/19/2026
AGL-001053,6/13/2026
AGL-001054,9/20/2026
AGL-001055,7/16/2026
AGL-001056,9/20/2026
AGL-001057,9/20/2026
AGL-001058,9/23/2026
AGL-001059,9/25/2026
AGL-001060,9/25/2026
AGL-001061,9/26/2026
AGL-001062,9/26/2026
AGL-001063,9/26/2026
AGL-001064,9/26/2026
AGL-001065,9/26/2026
AGL-001066,7/3/2026
AGL-001067,12/10/2026
AGL-001068,9/28/2026
AGL-001069,12/22/2026
AGL-001070,9/28/2026
AGL-001071,9/30/2026
AGL-001072,10/2/2026
AGL-001073,10/3/2026
AGL-001074,10/3/2026
AGL-001075,10/3/2026
AGL-001076,10/4/2026
AGL-001077,10/6/2026
AGL-001078,11/18/2026
AGL-001079,5/10/2026
AGL-001080,5/9/2026
AGL-001081,12/11/2026
AGL-001082,10/9/2026
AGL-001083,10/9/2026
AGL-001084,10/9/2026
AGL-001085,10/9/2026
AGL-001086,10/9/2026
AGL-001087,10/9/2026
AGL-001088,7/1/2026
AGL-001089,10/10/2026
AGL-001090,10/10/2026
AGL-001091,12/10/2026
AGL-001092,12/6/2026
AGL-001093,4/28/2026
AGL-001094,11/21/2026
AGL-001095,10/11/2026
AGL-001096,10/11/2026
AGL-001097,10/11/2026
AGL-001098,1/16/2027
AGL-001099,10/13/2026
AGL-001100,12/13/2026
AGL-001101,5/8/2026
AGL-001102,1/15/2027
AGL-001103,11/14/2026
AGL-001104,10/16/2026
AGL-001105,10/16/2026
AGL-001106,1/2/2027
AGL-001107,11/18/2026
AGL-001108,10/17/2026
AGL-001109,10/17/2026
AGL-001110,10/18/2026
AGL-001111,10/18/2026
AGL-001112,10/18/2026
AGL-001113,10/19/2026
AGL-001114,10/19/2026
AGL-001115,10/19/2026
AGL-001116,10/19/2026
AGL-001117,10/19/2026
AGL-001118,10/19/2026
AGL-001119,10/20/2026
AGL-001120,10/22/2026
AGL-001121,10/23/2026
AGL-001122,10/23/2026
AGL-001123,10/23/2026
AGL-001124,7/6/2026
AGL-001125,7/6/2026
AGL-001126,10/24/2026
AGL-001127,10/24/2026
AGL-001128,10/25/2026
AGL-001129,11/21/2026
AGL-001130,3/11/2026
AGL-001131,10/29/2026
AGL-001132,10/29/2026
AGL-001133,10/29/2026
AGL-001134,10/29/2026
AGL-001135,10/29/2026
AGL-001136,10/29/2026
AGL-001137,10/30/2026
AGL-001138,10/30/2026
AGL-001139,10/30/2026
AGL-001140,1/4/2027
AGL-001141,11/1/2026
AGL-001142,11/1/2026
AGL-001143,12/7/2026
AGL-001144,12/7/2026
AGL-001145,11/2/2026
AGL-001146,11/2/2026
AGL-001147,11/2/2026
AGL-001148,11/3/2026
AGL-001149,11/3/2026
AGL-001150,11/3/2026
AGL-001151,11/3/2026
AGL-001152,11/6/2026
AGL-001153,12/10/2026
AGL-001154,1/3/2027
AGL-001155,7/3/2026
AGL-001156,11/7/2026
AGL-001157,5/23/2026
AGL-001158,11/7/2026
AGL-001159,12/11/2026
AGL-001160,11/8/2026
AGL-001161,11/8/2026
AGL-001162,11/9/2026
AGL-001163,11/9/2026
AGL-001164,11/9/2026
AGL-001165,11/9/2026
AGL-001166,11/10/2026
AGL-001167,11/10/2026
AGL-001168,11/10/2026
AGL-001169,11/10/2026
AGL-001170,11/10/2026
AGL-001171,11/10/2026
AGL-001172,11/10/2026
AGL-001173,11/10/2026
AGL-001174,11/10/2026
AGL-001175,11/10/2026
AGL-001176,11/10/2026
AGL-001177,11/10/2026
AGL-001178,12/12/2026
AGL-001179,12/13/2026
AGL-001180,1/18/2027
AGL-001181,11/14/2026
AGL-001182,11/14/2026
AGL-001183,12/14/2026
AGL-001184,11/15/2026
AGL-001185,11/15/2026
AGL-001186,11/16/2026
AGL-001187,11/16/2026
AGL-001188,11/16/2026
AGL-001189,11/16/2026
AGL-001190,11/16/2026
AGL-001191,11/18/2026
AGL-001192,11/18/2026
AGL-001193,11/20/2026
AGL-001194,11/22/2026
AGL-001195,11/22/2026
AGL-001196,11/22/2026
AGL-001197,11/22/2026
AGL-001198,11/22/2026
AGL-001199,11/23/2026
AGL-001200,11/23/2026
AGL-001201,11/23/2026
AGL-001202,11/30/2026
AGL-001203,11/30/2026
AGL-001204,11/30/2026
AGL-001205,12/1/2026
AGL-001206,12/3/2026
AGL-001207,12/4/2026
AGL-001208,12/4/2026
AGL-001209,7/3/2026
AGL-001210,12/5/2026
AGL-001211,12/5/2026
AGL-001212,12/5/2026
AGL-001213,12/5/2026
AGL-001214,12/5/2026
AGL-001215,1/8/2027
AGL-001216,12/6/2026
AGL-001217,12/10/2026
AGL-001218,1/12/2027
AGL-001219,12/11/2026
AGL-001220,12/12/2026
AGL-001221,12/12/2026
AGL-001222,12/13/2026
AGL-001223,12/13/2026
AGL-001224,12/14/2026
AGL-001225,5/9/2026
AGL-001226,1/18/2027
AGL-001227,5/16/2026
AGL-001228,12/18/2026
AGL-001229,12/18/2026
AGL-001230,12/18/2026
AGL-001231,12/18/2026
AGL-001232,5/29/2026
AGL-001233,12/19/2026
AGL-001234,12/20/2026
AGL-001235,3/18/2026
AGL-001236,12/22/2026
AGL-001237,2/22/2026
AGL-001238,12/24/2026
AGL-001239,12/24/2026
AGL-001240,12/24/2026
AGL-001241,12/24/2026
AGL-001242,12/24/2026
AGL-001243,12/24/2026
AGL-001244,12/24/2026
AGL-001245,12/24/2026
AGL-001246,12/24/2026
AGL-001247,12/24/2026
AGL-001248,12/25/2026
AGL-001249,12/25/2026
AGL-001250,12/25/2026
AGL-001251,12/25/2026
AGL-001252,12/27/2026
AGL-001253,12/25/2026
AGL-001254,12/28/2026
AGL-001255,12/26/2026
AGL-001256,12/26/2026
AGL-001257,12/27/2026
AGL-001258,12/27/2026
AGL-001259,12/27/2026
AGL-001260,12/28/2026
AGL-001261,3/18/2026
AGL-001262,1/1/2027
AGL-001263,2/13/2026
AGL-001264,1/1/2027
AGL-001265,1/4/2027
AGL-001266,5/16/2026
AGL-001267,1/10/2027
AGL-001268,1/11/2027
AGL-001269,1/11/2027
AGL-001270,8/3/2026
AGL-001271,8/3/2026
AGL-001272,1/12/2027
AGL-001273,3/10/2026
AGL-001274,1/16/2027
AGL-001275,3/13/2026
AGL-001276,1/16/2027
AGL-001277,1/16/2027
AGL-001278,1/17/2027
AGL-001279,8/6/2026
AGL-001280,5/1/2026
AGL-001281,7/23/2026
AGL-001282,5/4/2026
AGL-001283,1/20/2027
AGL-001284,1/22/2027
AGL-001285,1/23/2027
AGL-001286,2/5/2026
AGL-001287,3/11/2026
AGL-001288,2/7/2026
AGL-001289,2/7/2026
AGL-001290,7/12/2026
AGL-001291,7/12/2026
AGL-001292,2/9/2026
AGL-001293,2/9/2026
AGL-001294,7/11/2026
AGL-001295,2/13/2026
AGL-001296,2/15/2026
AGL-001297,3/2/2026
AGL-001298,3/2/2026
AGL-001299,3/27/2026
AGL-001300,6/8/2026
AGL-001301,6/8/2026
AGL-001302,3/3/2026
AGL-001303,3/10/2026
AGL-001304,5/28/2026
AGL-001305,7/3/2026
AGL-001306,3/10/2026
AGL-001307,3/11/2026
AGL-001308,8/3/2026
AGL-001309,8/7/2026
AGL-001310,4/7/2026
AGL-001311,3/11/2026
AGL-001312,5/7/2026
AGL-001314,3/11/2026
AGL-001315,7/12/2026
AGL-001316,3/11/2026
AGL-001317,7/9/2026
AGL-001318,3/11/2026
AGL-001319,3/11/2026
AGL-001320,3/11/2026
AGL-001321,3/11/2026
AGL-001322,3/11/2026
AGL-001323,3/11/2026
AGL-001324,4/24/2026
AGL-001325,3/17/2026
AGL-001326,3/13/2026
AGL-001327,3/13/2026
AGL-001328,4/6/2026
AGL-001329,3/16/2026
AGL-001330,3/16/2026
AGL-001331,6/18/2026
AGL-001332,3/16/2026
AGL-001333,3/17/2026
AGL-001334,3/17/2026
AGL-001335,3/17/2026
AGL-001337,6/15/2026
AGL-001338,5/7/2026
AGL-001339,3/19/2026
AGL-001340,3/19/2026
AGL-001341,8/7/2026
AGL-001342,7/11/2026
AGL-001343,5/8/2026
AGL-001344,3/23/2026
AGL-001345,3/23/2026
AGL-001346,3/23/2026
AGL-001347,3/24/2026
AGL-001348,3/24/2026
AGL-001349,8/7/2026
AGL-001350,7/9/2026
AGL-001351,7/11/2026
AGL-001352,6/7/2026
AGL-001353,3/27/2026
AGL-001354,3/28/2026
AGL-001355,4/2/2026
AGL-001356,4/4/2026
AGL-001357,5/10/2026
AGL-001358,4/4/2026
AGL-001359,4/4/2026
AGL-001360,7/18/2026
AGL-001361,7/24/2026
AGL-001362,6/8/2026
AGL-001363,7/15/2026
AGL-001364,7/17/2026
AGL-001365,4/6/2026
AGL-001366,4/6/2026
AGL-001367,4/6/2026
AGL-001368,4/7/2026
AGL-001369,7/5/2026
AGL-001370,5/9/2026
AGL-001371,4/12/2026
AGL-001372,4/13/2026
AGL-001373,7/5/2026
AGL-001374,5/13/2026
AGL-001375,4/13/2026
AGL-001376,7/1/2026
AGL-001377,7/17/2026
AGL-001378,5/22/2026
AGL-001379,4/13/2026
AGL-001380,4/13/2026
AGL-001381,4/14/2026
AGL-001382,7/16/2026
AGL-001383,5/29/2026
AGL-001384,4/14/2026
AGL-001385,6/19/2026
AGL-007385,6/19/2026
AGL-001386,4/17/2026
AGL-001387,4/17/2026
AGL-001388,7/2/2026
AGL-001411,8/1/2026
AGL-001412,5/3/2026
AGL-001413,5/3/2026
AGL-001414,5/4/2026
AGL-001415,6/2/2026
AGL-001416,5/6/2026
AGL-001417,5/7/2026
AGL-001418,8/7/2026
AGL-001419,8/7/2026
AGL-001420,5/7/2026
AGL-001421,5/7/2026
AGL-001422,6/20/2026
AGL-001423,7/16/2026
AGL-001424,6/5/2026
AGL-001425,5/8/2026
AGL-001426,5/8/2026
AGL-001427,7/10/2026
AGL-001428,5/8/2026
AGL-001429,7/12/2026
AGL-001430,7/12/2026
AGL-001431,6/13/2026
AGL-001432,7/30/2026
AGL-001433,5/8/2026
AGL-001389,8/2/2026
AGL-001390,4/25/2026
AGL-001391,4/25/2026
AGL-001392,7/19/2026
AGL-001393,7/10/2026
AGL-001394,5/29/2026
AGL-009394,5/29/2026
AGL-001395,4/27/2026
AGL-001396,7/2/2026
AGL-001397,4/27/2026
AGL-001398,4/27/2026
AGL-001399,4/27/2026
AGL-001400,4/28/2026
AGL-001401,8/2/2026
AGL-001402,4/30/2026
AGL-001403,4/30/2026
AGL-001404,5/1/2026
AGL-001405,5/1/2026
AGL-001406,5/1/2026
AGL-001407,5/1/2026
AGL-001408,5/2/2026
AGL-001409,5/2/2026
AGL-001410,5/2/2026
AGL-001457,5/14/2026
AGL-001458,5/14/2026
AGL-001459,6/15/2026
AGL-001460,5/14/2026
AGL-001461,7/11/2026
AGL-001462,5/16/2026
AGL-001463,5/16/2026
AGL-001464,5/16/2026
AGL-001465,7/9/2026
AGL-001466,5/16/2026
AGL-001467,5/16/2026
AGL-001468,5/16/2026
AGL-001469,5/16/2026
AGL-001470,6/16/2026
AGL-001471,5/17/2026
AGL-001472,5/20/2026
AGL-001473,7/23/2026
AGL-001474,5/21/2026
AGL-001475,5/21/2026
AGL-001476,5/21/2026
AGL-001477,5/21/2026
AGL-001478,5/21/2026
AGL-001479,6/11/2026
AGL-001434,5/9/2026
AGL-001435,5/9/2026
AGL-001436,5/9/2026
AGL-001437,6/15/2026
AGL-001438,5/10/2026
AGL-001439,5/10/2026
AGL-001440,5/10/2026
AGL-001441,5/10/2026
AGL-001442,6/14/2026
AGL-001443,7/8/2026
AGL-001444,7/30/2026
AGL-001445,5/10/2026
AGL-001446,8/2/2026
AGL-001447,7/5/2026
AGL-001448,5/11/2026
AGL-001449,5/11/2026
AGL-001450,5/13/2026
AGL-001451,6/11/2026
AGL-001452,6/11/2026
AGL-001453,6/11/2026
AGL-001454,5/13/2026
AGL-001455,5/13/2026
AGL-001456,5/14/2026
AGL-001480,7/3/2026
AGL-001481,7/3/2026
AGL-001482,5/22/2026
AGL-001483,5/22/2026
AGL-001484,7/19/2026
AGL-001485,5/22/2026
AGL-001486,7/19/2026
AGL-001487,7/19/2026
AGL-001488,7/20/2026
AGL-001489,7/16/2026
AGL-001490,7/16/2026
AGL-001491,5/22/2026
AGL-001492,5/23/2026
AGL-001493,5/23/2026
AGL-001494,7/16/2026
AGL-001495,5/29/2026
AGL-001496,5/30/2026
AGL-009496,5/30/2026
AGL-001497,7/12/2026
AGL-001498,6/1/2026
AGL-001499,6/1/2026
AGL-001500,6/2/2026
AGL-001501,6/2/2026
AGL-001502,7/10/2026
AGL-001503,7/8/2026
AGL-001504,6/4/2026
AGL-001505,7/12/2026
AGL-001506,6/4/2026
AGL-001507,6/5/2026
AGL-001508,6/5/2026
AGL-001509,6/5/2026
AGL-001510,6/5/2026
AGL-001511,6/5/2026
AGL-001512,6/6/2026
AGL-001513,8/6/2026
AGL-001514,8/6/2026
AGL-001515,6/6/2026
AGL-001516,6/6/2026
AGL-001517,6/7/2026
AGL-001518,6/8/2026
AGL-001519,6/8/2026
AGL-001520,6/9/2026
AGL-001521,7/20/2026
AGL-001522,6/11/2026
AGL-001523,6/11/2026
AGL-001524,6/11/2026
AGL-001525,6/11/2026
AGL-001526,6/12/2026
AGL-001527,6/12/2026
AGL-001528,7/17/2026
AGL-001529,7/18/2026
AGL-001530,7/20/2026
AGL-001531,7/9/2026
AGL-001532,6/12/2026
AGL-001533,6/13/2026
AGL-001534,7/22/2026
AGL-001535,7/17/2026
AGL-001536,6/14/2026
AGL-001537,6/15/2026
AGL-001538,6/15/2026
AGL-001539,6/15/2026
AGL-001540,6/18/2026
AGL-001541,7/18/2026
AGL-001542,6/18/2026
AGL-001543,6/19/2026
AGL-001544,6/19/2026
AGL-001545,6/20/2026
AGL-001546,6/20/2026
AGL-001547,6/20/2026
AGL-001548,6/20/2026
AGL-001549,6/21/2026
AGL-001550,6/23/2026
AGL-001551,6/23/2026
AGL-001552,7/1/2026
AGL-001553,7/1/2026
AGL-001554,7/2/2026
AGL-001555,7/2/2026
AGL-001556,7/2/2026
AGL-001557,8/3/2026
AGL-001558,7/2/2026
AGL-001559,7/2/2026
AGL-001560,7/3/2026
AGL-001561,8/6/2026
AGL-001562,8/6/2026
AGL-001563,7/3/2026
AGL-001564,7/4/2026
AGL-001565,7/4/2026
AGL-001566,7/4/2026
AGL-001567,7/4/2026
AGL-001568,7/4/2026
AGL-001569,8/6/2026
AGL-001570,7/5/2026
AGL-001571,7/6/2026
AGL-001572,7/8/2026
AGL-001573,7/8/2026
AGL-001574,7/8/2026
AGL-001575,7/8/2026
AGL-001576,7/8/2026
AGL-001577,7/9/2026
AGL-001578,7/9/2026
AGL-001579,8/7/2026
AGL-001580,7/9/2026
AGL-001581,7/9/2026
AGL-001582,7/9/2026
AGL-001583,7/9/2026
AGL-001584,7/9/2026
AGL-001585,7/9/2026
AGL-001586,7/9/2026
AGL-001587,7/9/2026
AGL-001588,7/10/2026
AGL-001589,7/10/2026
AGL-001590,7/10/2026
AGL-001591,7/10/2026
AGL-001592,7/10/2026
AGL-001593,7/10/2026
AGL-001594,7/10/2026
AGL-001595,7/10/2026
AGL-001596,7/10/2026
AGL-001597,7/10/2026
AGL-001598,7/10/2026
AGL-001599,7/11/2026
AGL-001600,7/11/2026
AGL-001601,7/12/2026
AGL-001602,7/12/2026
AGL-001603,7/12/2026
AGL-001604,7/12/2026
AGL-001605,7/13/2026
AGL-001606,7/15/2026
AGL-001607,7/15/2026
AGL-001608,7/15/2026
AGL-001609,7/15/2026
AGL-001610,7/16/2026
AGL-001611,7/16/2026
AGL-001612,7/16/2026
AGL-001613,7/16/2026
AGL-001614,7/16/2026
AGL-001615,7/16/2026
AGL-001616,7/16/2026
AGL-001617,7/16/2026
AGL-001618,7/16/2026
AGL-001619,7/16/2026
AGL-001620,7/16/2026
AGL-001621,7/16/2026
AGL-001622,7/16/2026
AGL-001623,7/16/2026
AGL-001624,7/16/2026
AGL-001625,7/16/2026
AGL-001626,7/17/2026
AGL-001627,7/17/2026
AGL-001628,7/18/2026
AGL-001629,7/18/2026
AGL-001630,7/18/2026
AGL-001631,7/18/2026
AGL-001632,7/18/2026
AGL-001633,7/19/2026
AGL-001634,7/19/2026
AGL-001635,7/19/2026
AGL-001636,7/19/2026
AGL-001637,8/4/2026
AGL-001638,7/20/2026
AGL-001639,7/22/2026
AGL-001640,7/22/2026
AGL-001641,7/22/2026
AGL-001642,7/22/2026
AGL-001643,7/24/2026
AGL-001644,7/29/2026
AGL-001645,7/30/2026
AGL-001646,7/30/2026
AGL-001647,8/1/2026
AGL-001648,8/1/2026
AGL-001649,8/1/2026
AGL-001650,8/2/2026
AGL-001651,8/2/2026
AGL-001652,8/2/2026
AGL-001653,8/3/2026
AGL-001654,8/3/2026
AGL-001655,8/4/2026
AGL-001656,8/4/2026
AGL-001657,8/4/2026
AGL-001658,8/4/2026
AGL-001659,8/6/2026
AGL-001660,8/6/2026
AGL-001661,8/7/2026
AGL-001662,8/7/2026
AGL-001663,8/7/2026
AGL-001664,8/7/2026
AGL-001665,8/9/2026
AGL-001666,8/9/2026
AGL-001667,8/9/2026
AGL-001668,8/9/2026
AGL-001669,8/9/2026
AGL-001670,8/7/2026
AGL-001671,8/8/2026
AGL-001672,8/8/2026
AGL-001673,8/10/2026
AGL-001674,8/10/2026
AGL-001675,8/10/2026
AGL-001676,8/10/2026
AGL-001677,8/10/2026
AGL-001678,8/10/2026
AGL-001679,8/11/2026
AGL-001680,8/11/2026
AGL-001681,8/13/2026
AGL-001682,8/13/2026
AGL-001683,8/13/2026
AGL-001684,8/13/2026
AGL-001685,8/14/2026
AGL-001686,8/14/2026
AGL-001687,8/14/2026
AGL-001688,8/14/2026
AGL-001689,8/14/2026
AGL-001690,8/14/2026
AGL-001691,8/14/2026
AGL-001692,8/14/2026
AGL-001693,8/10/2026
AGL-001694,8/15/2026
AGL-001695,8/7/2026
AGL-001696,8/15/2026
AGL-001697,8/15/2026
AGL-001698,8/15/2026
AGL-001699,8/15/2026
AGL-001700,8/13/2026
AGL-001701,8/16/2026
AGL-001702,8/16/2026
AGL-001703,8/16/2026
AGL-001704,8/17/2026
AGL-001705,8/17/2026
AGL-001706,8/18/2026
AGL-001707,8/18/2026
AGL-001708,8/18/2026
AGL-001709,8/18/2026
AGL-001710,8/20/2026
AGL-001711,8/3/2026
AGL-001712,8/3/2026
AGL-001713,8/20/2026
AGL-001714,8/20/2026
